OBJECT_ID,OBJECT_RATER_ID,STATUS,TYPE,VERTICAL_ID,CONTENT_ID,AUTHOR_ID,SUBJECT_ID,TRUSTOR,TRUSTEE,VALUE,AVERAGE_RATING_GIVEN,POSITIVE_RATINGS_RECEIVED,NEGATIVE_RATINGS_RECEIVED,SOCIAL_CONNECTIONS,RATING_DEVIATION,PREVIOUS_INTERACTIONS,TIME_SINCE_LAST_RATING,RATING,LABEL
844018,413422,0,1,2437657.241421619,1010294.2851085982,375031.2122686585,70132.3121043176,354668.4686788014,527982.4846249952,1.0,4.866594011022145,4,0,1217,-3.732629887192667,0,0.0,1,Trusted
943823,373195,0,1,2522499.0,763281.9073920072,320125.55230355443,20652.355691396715,249435.0527417472,367276.0684673074,1.0,4.717412176260796,117,5,1390,-2.6862680417923306,0,0.0,2,Trusted
730352,282870,0,1,2522499.0,1367728.0,408507.0,136388.0,217977.0,257888.0,1.0,4.561338289962825,736,84,1613,0.3137319582076694,0,0.0,5,Trusted
744063,622851,0,1,2530123.1269083787,1292992.8965726579,561901.2365494028,7015677540.809997,428861.14508348115,304369.3674966627,1.0,4.420268271755573,451,59,40,-2.4718110873935917,0,0.0,2,Trusted
787441,472533,0,1,2531403.0,1139287.263679773,381953.80371725606,39541.927186272784,3199307652.0,3189768415.470977,1.0,4.112201177449229,136,3,26,-2.5626069466542587,0,0.0,2,Trusted
774554,240057,1,1,6205.0,1173067.0,338082.0,109936.0,3188887428.0,3219165060.0,1.0,4.4918759231905465,86,4,676,-2.600227068701484,0,0.0,2,Trusted
1085494,385781,0,1,2522131.0,1089119404.9171774,568406.7345626581,8719828.384604372,336981.92125551146,454387.32381559414,1.0,4.539721348604876,81,8,360,-0.5928617429232164,0,0.0,4,Trusted
821205,233264,0,1,2522494.0,1065629.316263404,282180.0753021392,41312.22865410784,548421.3807536943,375700.15703853505,1.0,4.37531847361576,640,6,1801,-0.5284532874805539,0,0.0,4,Trusted
892830,539880,0,1,2522507.559053699,887077.721516665,294285.372781333,87095.3463541531,633066.20518672,494655.0847648855,1.0,4.669628020006013,151,2,776,-1.6968414730655013,0,0.0,3,Trusted
1124225,589672,0,1,2522131.0,23571636385.333946,5222280842.357949,4325845217.247126,46804079993.557625,58169346320.2418,1.0,4.5243515470278535,33,5,712,-2.5928617429232164,0,0.0,2,Trusted
858929,415630,0,1,2522508.3016735315,972698.9369112354,341308.72227628547,75852.8228390484,408341.7843840307,446715.0016091736,0.4431527820684569,4.749637994046469,7,1,1203,-3.7354375189743503,0,0.0,1,"50% Trusted, 50% Not Trusted"
954692,308422,0,1,3321654.0,3511193220.0,671275.0,135113.0,329644.0,2973405060.0,-1.0,4.803571428571429,3,72,223,0.29659617190789245,0,0.0,5,Not Trusted
723326,239564,0,1,2531403.0,1417674.763672885,205746.90860799028,6455.564862585376,253218.6536395082,205585.6461563331,1.0,4.312892512978835,1509,56,136,-0.5626069466542587,0,0.0,4,Trusted
775891,216022,0,1,6205.0,1169864.0,224837.0,111237.0,3189739396.0,3169226628.0,1.0,4.40385739333723,65,0,1710,-0.6002270687014839,0,0.0,4,Trusted
955699,349043,0,1,3321654.0,750439.0,344381.0,160223.0,439734.0,472470.0,-1.0,4.947916666666667,1,4,95,0.29659617190789245,0,0.0,5,Not Trusted
771025,342046,0,1,6205.0,1184770.0,402590.0,110783.0,3184234372.0,3170144132.0,1.0,4.413687436159346,129,0,978,0.3997729312985161,0,0.0,5,Trusted
812628,416362,0,1,2522726.0,1080813.1519816997,388585.11109117046,40525.24077287787,3220283726.8043246,3081256459.8703895,-0.29548040781201856,4.608811312171599,8,6,90,-1.5715713975222778,0,0.0,3,"50% Trusted, 50% Not Trusted"
780704,213402,0,1,6205.0,1155429.142255293,670004.6556646478,35710.79903921589,519669.0,220477.10364122625,1.0,4.415905852400267,3,0,2086,-1.600227068701484,0,0.0,3,Trusted
891081,297339,0,1,2522498.703234001,889459.6028653202,299593.4323155739,88326.92230685856,279637.4990086777,459372.2777092387,1.0,4.618589203094188,2,0,691,-3.7013977013010684,0,0.0,1,Trusted
3146586407,364210,0,1,2522535.0,1275913.4906407741,498792.3114227045,6953695792.80449,337756.04462217266,410017.0643105942,1.0,4.573904309709327,21,2,584,-0.7307406598208432,0,0.0,4,Trusted
1064703,252574,0,1,2522131.0,7399050626.810681,344381.9824975814,11213.128991003607,413610.37321395497,501712.2470086831,-0.8788473393570599,4.406742094722259,25,3,514,-1.5928617429232164,0,0.0,3,Not Trusted
827200,200396,0,1,2531403.0,1053370.5213067494,256193.66583383013,57527.86349098969,446980.40175762575,472587.1038361327,1.0,4.704099821746881,20,0,560,-3.5626069466542587,0,0.0,1,Trusted
898484,555230,0,1,2522499.0,869074.0,338805.0,84134.0,244251.0,301371.0,1.0,4.91578947368421,81,3,94,0.3137319582076694,0,0.0,5,Trusted
895455,408791,0,1,2522720.9170775074,877903.5190625757,515163.9015937574,83015.49725651086,644383.0857820797,695013.1183608747,1.0,4.4206809693003075,6,0,1082,-3.7272157468097498,0,0.0,1,Trusted
873863,241850,0,1,30971265.0,4415065732.0,3242168196.0,85336.0,566636.0,498372.0,1.0,4.858757062146893,110,2,176,-1.5704653259633856,0,0.0,3,Trusted
880414,370973,0,1,2524296.452582759,918228.0378267571,241817.73985903058,78966.3192266075,550024.8561358659,286154.6079298087,-0.6027396069556226,4.472112920466124,16,5,987,-3.697344227332559,0,0.0,1,Not Trusted
1094601,507466,0,1,2522131.0,15997993775.630405,6793513157.369936,103556.26348794127,292760.6699590138,4649546750.48083,-0.7921929864884789,4.568362812500143,55,18,20,-2.5928617429232164,0,0.0,2,Not Trusted
916061,355176,0,1,-1.0,823138.0,549485.0,132922.0,233349.0,483502.0,1.0,4.549180327868853,82,0,2439,-0.7008492289152093,0,0.0,4,Trusted
768127,255170,0,1,6205.0,5112041092.0,3281817476.0,229836821377.0,3176632196.0,3188232068.0,1.0,4.67987012987013,213,13,1539,0.3997729312985161,0,0.0,5,Trusted
875235,547892,0,1,30971265.0,937167.8871702398,547605.5836097084,90170.28508962759,584421.0996016462,698064.0363382346,1.0,3.2775797680576555,11,0,40,-2.5704653259633856,0,0.0,2,Trusted
1033891,552361,0,1,-1.0,1513463.4995343182,533619.7189146489,462422315.31833786,249853.82414199717,19160957539.764164,-1.0,4.469092560355662,0,7,196,-2.7008492289152093,0,0.0,2,Not Trusted
3848310404,466901,0,1,2522482.0,1241322.4484956916,694854.4934039233,126115.37641123756,481454.0,556755.3042492468,1.0,4.660122101296004,54,4,553,-0.699798908359667,0,0.0,4,Trusted
876155,222198,0,1,-1.0,933844.9698337103,418211.71042166976,90467.98133001858,249864.7998048794,470045.6936600555,1.0,4.704604477542111,106,12,2592,-1.7008492289152093,0,0.0,3,Trusted
1091624,303971,0,1,2522131.0,15221952132.0,6513528708.0,126773.0,36391849860.0,295491.0,1.0,4.311811023622047,1246,42,634,0.40713825707678364,0,0.0,5,Trusted
698584708,294260,1,1,2522495.0,6233886340.0,3228405636.0,136773.0,282870.0,227815.0,-1.0,4.380305602716469,10,9,588,-2.583257570459473,0,0.0,2,Not Trusted
953629,514987,0,1,3321654.0,3733753476.0,1971687300.0,140680.0,327477.0,289577.0,-1.0,4.932539682539683,0,2,251,0.29659617190789245,0,0.0,5,Not Trusted
